_msg_id,_ts,_msg_type,FIToFICstmrCdtTrf.CdtTrfTxInf.IntrBkSttlmAmt@Ccy,FIToFICstmrCdtTrf.GrpHdr.MsgId,FIToFICstmrCdtTrf.GrpHdr.CreDtTm,FIToFICstmrCdtTrf.GrpHdr.NbOfTxs,FIToFICstmrCdtTrf.GrpHdr.SttlmInf.SttlmMtd,FIToFICstmrCdtTrf.CdtTrfTxInf.PmtId.EndToEndId,FIToFICstmrCdtTrf.CdtTrfTxInf.PmtId.UETR,FIToFICstmrCdtTrf.CdtTrfTxInf.IntrBkSttlmAmt,FIToFICstmrCdtTrf.CdtTrfTxInf.ChrgBr,FIToFICstmrCdtTrf.CdtTrfTxInf.Dbtr.Nm,FIToFICstmrCdtTrf.CdtTrfTxInf.DbtrAcct.Id.Othr.Id,FIToFICstmrCdtTrf.CdtTrfTxInf.DbtrAgt.FinInstnId.BICFI,FIToFICstmrCdtTrf.CdtTrfTxInf.Cdtr.Nm,FIToFICstmrCdtTrf.CdtTrfTxInf.CdtrAcct.Id.Othr.Id,FIToFICstmrCdtTrf.CdtTrfTxInf.CdtrAgt.FinInstnId.BICFI,FIToFICstmrCdtTrf.CdtTrfTxInf.RmtInf.Ustrd,_format
MSG00000035036,2026-07-13T14:04:17.982,pacs.008.001.08,EUR,MSG00000103379,2026-07-01T21:47:50,1,CLRG,REF00000722728,8a9557f3-549e-2354-4c7d-3fae6af99924,1552.32,SLEV,GJKIO TE,**************7416,DBSSSGSG,VTEVC XBYSSSBO,**************5765,CITIUS33,INVOICE 63183,mx
MSG00000448656,2026-07-11T12:22:36.784,pacs.008.001.08,USD,MSG00000772192,2026-07-09T14:05:42,1,CLRG,REF00000463557,626ddf31-842d-3e24-aba4-cbf426e09034,1142.19,SLEV,EDBEC WV,**************7712,DBSSSGSG,UMSOY PSROUWAD,**************2827,CITIUS33,INVOICE 34320,mx
MSG00000013628,2026-07-13T04:37:06.811,pacs.008.001.08,MYR,MSG00000271724,2026-07-07T20:12:10,1,CLRG,REF00000598420,95fc89cd-9b33-69d0-fc29-85f1f262f231,800.51,SLEV,HKLSE NT,**************1821,OCBCSGSG,UZBHG IEFPMOHC,**************5809,CITIUS33,INVOICE 15140,mx
MSG00000178794,2026-07-10T19:54:55.669,pacs.008.001.08,SGD,MSG00000460890,2026-07-05T07:55:18,1,CLRG,REF00000638734,4ab4222a-f0db-0c2f-6cdd-3d74d4f29314,335.08,SLEV,IRJMP UQ,**************5108,OCBCSGSG,CWQEL QNTGRDID,**************8519,CITIUS33,INVOICE 85965,mx
MSG00000359507,2026-07-09T04:34:40.005,pacs.008.001.08,USD,MSG00000134408,2026-07-06T06:33:51,1,CLRG,REF00000585715,2efb816c-6e3f-e4a1-362f-daa1f61afef7,429.46,SLEV,EAANV PK,**************8168,UOVBSGSG,SZMRB PLRVQQDF,**************1724,CITIUS33,INVOICE 73403,mx
MSG00000075061,2026-07-14T06:56:53.795,pacs.008.001.08,SGD,MSG00000280531,2026-07-09T13:45:13,1,CLRG,REF00000038676,40d770c8-edaf-85e0-ee40-f50e69c34e84,639.13,SLEV,ZEYIX IU,**************0507,OCBCSGSG,UBBDW ACPWIHIF,**************8082,CITIUS33,INVOICE 67516,mx
MSG00000520240,2026-07-09T21:50:45.821,pacs.008.001.08,SGD,MSG00000715193,2026-07-12T03:18:21,1,CLRG,REF00000544124,6b5b158e-af3c-886c-32cd-80c00b2530a9,3941.54,SLEV,FJLRP NX,**************0201,DBSSSGSG,ACHMZ LGMAXGRH,**************6639,CITIUS33,INVOICE 42563,mx
MSG00000328228,2026-07-13T14:08:01.329,pacs.008.001.08,SGD,MSG00000081449,2026-07-14T03:26:53,1,CLRG,REF00000611594,eeb6825b-9df0-2158-6ad2-ce85facec477,1261.44,SLEV,QSTQC WC,**************9860,UOVBSGSG,VAOAK LNQMOXGO,**************1238,CITIUS33,INVOICE 82587,mx
MSG00000230982,2026-07-06T15:17:21.689,pacs.008.001.08,SGD,MSG00000250366,2026-07-11T23:40:45,1,CLRG,REF00000642225,a28b8efb-3ed7-172a-4ec6-2c24ce148f7d,4413.73,SLEV,RXLON EZ,**************5130,DBSSSGSG,UFGVK SUCEJWLP,**************0208,CITIUS33,INVOICE 06616,mx
MSG00000176757,2026-07-14T16:14:00.990,pacs.008.001.08,SGD,MSG00000698408,2026-07-08T10:18:37,1,CLRG,REF00000705365,1210c518-5454-a5b5-4c61-cedc0acbbb8d,709.67,SLEV,PLISU EV,**************7012,DBSSSGSG,HOVBV VGHXSMZX,**************0652,HSBCGB2L,INVOICE 63562,mx
MSG00000265132,2026-07-04T12:43:34.379,pacs.008.001.08,USD,MSG00000678098,2026-07-04T21:43:11,1,CLRG,REF00000384323,c43ce68c-8c4f-5a7c-a57a-983063af90e4,1078.98,SHAR,QXUCN XP,**************4322,DBSSSGSG,RWPAU KLHUODHM,**************4525,CITIUS33,INVOICE 55916,mx
MSG00000589084,2026-07-13T22:26:32.556,pacs.008.001.08,USD,MSG00000622999,2026-07-02T08:29:48,1,CLRG,REF00000524043,be14c924-a1ec-0389-0787-317205da5829,91.64,SHAR,DRKIP IG,**************8007,DBSSSGSG,HRBMM FDXMESRJ,**************9101,MAYBMYKL,INVOICE 29477,mx
MSG00000323629,2026-07-10T03:32:07.125,pacs.008.001.08,SGD,MSG00000143718,2026-07-07T14:10:01,1,CLRG,REF00000023701,94814b4b-32c7-bc73-1dbb-1ed3dc34d8ec,549.93,SLEV,TBEMZ FA,**************0723,UOVBSGSG,IRAHP NBHFAUZA,**************5379,CITIUS33,INVOICE 48593,mx
MSG00000414905,2026-07-05T07:01:05.407,pacs.008.001.08,SGD,MSG00000298928,2026-07-09T09:52:54,1,CLRG,REF00000396503,6a828a9c-1a40-33ba-6b81-4e0d67e615f0,100.39,SLEV,QPLEO IC,**************7615,OCBCSGSG,TDECP OEOCLBBF,**************1481,HSBCGB2L,INVOICE 77282,mx
MSG00000029936,2026-07-04T02:49:15.174,pacs.008.001.08,USD,MSG00000137714,2026-07-06T22:06:15,1,CLRG,REF00000277141,3315c3b9-f9ff-4624-ee62-98e4726e1a0f,5891.63,SLEV,KIWSJ QH,**************5930,OCBCSGSG,CIUTH DNMKKZIP,**************6985,HSBCGB2L,INVOICE 23470,mx
MSG00000704897,2026-07-07T18:51:41.168,pacs.008.001.08,USD,MSG00000624793,2026-07-01T22:50:14,1,CLRG,REF00000514235,983c3dd1-bc15-1386-5823-0450b3c70df6,2673.53,SLEV,TXMUK TQ,**************4492,OCBCSGSG,MPAJG ABQQVPNG,**************5093,CITIUS33,INVOICE 26913,mx
MSG00000562086,2026-07-09T02:14:21.840,pacs.008.001.08,SGD,MSG00000567644,2026-07-04T16:16:52,1,CLRG,REF00000745295,a3cf7a13-8aa7-3b6d-ccd1-cd43d76b262b,1779.47,SLEV,TBEXW HM,**************2176,OCBCSGSG,AVRGZ ZSBAMILP,**************2475,HSBCGB2L,INVOICE 04123,mx
MSG00000591768,2026-07-06T10:52:09.760,pacs.008.001.08,USD,MSG00000778985,2026-07-09T05:00:58,1,CLRG,REF00000370234,fd14ec30-b1ef-9fd9-8960-ef96af7b2d67,1009.74,SLEV,UWECQ DL,**************5834,UOVBSGSG,ATLMT ZFFKECQU,**************5196,MAYBMYKL,INVOICE 53605,mx
MSG00000770608,2026-07-14T08:06:24.471,pacs.008.001.08,EUR,MSG00000625287,2026-07-03T19:40:14,1,CLRG,REF00000110376,5e88ba28-3644-bf17-0baf-98b46b4db878,661.08,SLEV,SJMSV XC,**************4502,UOVBSGSG,XLRDJ ULWRSFLR,**************6693,MAYBMYKL,INVOICE 94212,mx
MSG00000766851,2026-07-08T02:16:53.156,pacs.008.001.08,EUR,MSG00000254383,2026-07-01T03:33:31,1,CLRG,REF00000144551,82e0895d-c49f-fdc4-a71b-3c72b19f0850,302.84,SLEV,QWNZT FJ,**************3825,DBSSSGSG,ZKIKV MVEUJWDY,**************6289,HSBCGB2L,INVOICE 14219,mx
MSG00000186813,2026-07-12T01:36:34.932,pacs.008.001.08,SGD,MSG00000491813,2026-07-05T06:53:38,1,CLRG,REF00000638513,4a7c2e41-5ee2-7d8f-eded-b0d57063ef95,1576.77,SLEV,WKTCO RN,**************0596,UOVBSGSG,BKBFU UXVPZJST,**************1118,MAYBMYKL,INVOICE 41626,mx
MSG00000287527,2026-07-11T14:59:03.364,pacs.008.001.08,EUR,MSG00000223144,2026-07-12T17:08:50,1,CLRG,REF00000516992,9c6f556d-296e-5925-6bc4-c3f3979ebf9c,1581.21,SLEV,VYUHW ZA,**************0222,UOVBSGSG,KCMSE PNIDYBEY,**************8341,MAYBMYKL,INVOICE 20832,mx
MSG00000275858,2026-07-05T15:15:34.458,pacs.008.001.08,SGD,MSG00000284051,2026-07-14T13:21:32,1,CLRG,REF00000581865,ab1866a5-f64f-78d3-2025-94abd22b07f5,722.86,SLEV,TVZRR GH,**************0133,UOVBSGSG,FKCOF LNQWMAYS,**************9076,MAYBMYKL,INVOICE 02353,mx
MSG00000713528,2026-07-11T20:05:27.713,pacs.008.001.08,USD,MSG00000193975,2026-07-12T05:35:05,1,CLRG,REF00000032690,c3f41da8-a846-13a2-e173-cd35821bd2ae,725.23,SHAR,KQLNQ CY,**************7889,UOVBSGSG,YGTRB MWLKBLSX,**************9387,HSBCGB2L,INVOICE 52399,mx
MSG00000769589,2026-07-03T05:50:18.270,pacs.008.001.08,SGD,MSG00000083040,2026-07-09T03:25:11,1,CLRG,REF00000371113,3bd43906-2a89-fe46-9876-3f6254613887,903.07,SHAR,VCNAO IN,**************7410,UOVBSGSG,TPSBJ HOOFIFNU,**************5904,CITIUS33,INVOICE 37444,mx
MSG00000294266,2026-07-07T00:36:47.916,pacs.008.001.08,USD,MSG00000443689,2026-07-10T01:16:24,1,CLRG,REF00000716751,32d188c5-690e-3159-8ffc-2a9f29c803e6,210.57,SLEV,VCNAO IN,**************8999,DBSSSGSG,OCHUH BLAFQJIT,**************3320,MAYBMYKL,INVOICE 28272,mx
MSG00000430107,2026-07-02T18:08:01.213,pacs.008.001.08,MYR,MSG00000498304,2026-07-09T16:58:50,1,CLRG,REF00000564056,e0f3e36d-2a91-7b88-81c7-a9b53a74d06e,138.82,SLEV,VZJQR CQ,**************2733,UOVBSGSG,CWKFA VVBUCYZE,**************3601,MAYBMYKL,INVOICE 48990,mx
MSG00000029369,2026-07-04T18:03:35.092,pacs.008.001.08,USD,MSG00000139801,2026-07-02T18:51:51,1,CLRG,REF00000334260,97b80d38-7f18-24e2-2186-0fccd1cc7a69,1903.78,SLEV,MNOCD YR,**************7441,DBSSSGSG,KBGDV QANKXMWH,**************1310,CITIUS33,INVOICE 35691,mx
MSG00000794122,2026-07-11T04:54:22.186,pacs.008.001.08,EUR,MSG00000498009,2026-07-04T01:23:18,1,CLRG,REF00000033349,b5a60725-4701-8250-58fd-8a0fa41baba1,374.1,SLEV,IPBMA NA,**************5678,DBSSSGSG,CEDZZ QCCROIOV,**************0050,CITIUS33,INVOICE 28704,mx
MSG00000065420,2026-07-01T11:28:05.559,pacs.008.001.08,SGD,MSG00000776371,2026-07-07T02:48:56,1,CLRG,REF00000751789,d0502591-bd9d-04d2-6fdf-38e1a27fc1cc,1213.57,SLEV,XTLZW WT,**************9503,DBSSSGSG,ATCUG QNGLJDEX,**************0983,CITIUS33,INVOICE 62596,mx
MSG00000170271,2026-07-10T10:01:48.719,pacs.008.001.08,MYR,MSG00000276480,2026-07-11T14:37:22,1,CLRG,REF00000508432,672e6257-90f8-e4d1-1d93-15c6310a612d,1957.72,SLEV,ZUVZL JM,**************9209,OCBCSGSG,LYCFP LSWEDFUK,**************9274,MAYBMYKL,INVOICE 72618,mx
MSG00000011823,2026-07-01T21:50:25.652,pacs.008.001.08,SGD,MSG00000438963,2026-07-03T11:57:23,1,CLRG,REF00000228214,f63c5dce-39c4-ef1a-622d-c27af90aebc6,1752.44,SLEV,ZECLF HH,**************5655,DBSSSGSG,QORLM AONIZQIQ,**************6186,HSBCGB2L,INVOICE 89899,mx
MSG00000719338,2026-07-07T12:22:17.006,pacs.008.001.08,USD,MSG00000738920,2026-07-06T22:13:32,1,CLRG,REF00000097834,7e79d0df-c913-c59c-77bf-4e86cb6b2ca4,424.59,SHAR,RXLON EZ,**************8404,OCBCSGSG,EQQMO JMPSDUQX,**************5103,HSBCGB2L,INVOICE 73076,mx
MSG00000362227,2026-07-03T04:08:07.227,pacs.008.001.08,SGD,MSG00000733669,2026-07-04T22:26:40,1,CLRG,REF00000068458,86a8ef6c-9ab3-9eea-1093-08fdac5d8b80,1686.45,SLEV,UORRB EA,**************9946,DBSSSGSG,RCIIC OZZXHAKJ,**************1191,MAYBMYKL,INVOICE 05377,mx
MSG00000199879,2026-07-10T23:08:33.049,pacs.008.001.08,SGD,MSG00000181328,2026-07-11T05:42:52,1,CLRG,REF00000090673,03465861-c516-0c75-437f-740435aa3cb6,2190.2,SLEV,TRCEZ NQ,**************7568,OCBCSGSG,ASGVY BTUOSXVV,**************0593,HSBCGB2L,INVOICE 22106,mx
MSG00000143210,2026-07-07T15:41:14.757,pacs.008.001.08,EUR,MSG00000739976,2026-07-04T23:04:21,1,CLRG,REF00000247645,13d27ab1-7d4c-73cf-e86c-edadf55c4bab,793.04,SLEV,PPZDM SO,**************6040,UOVBSGSG,ASGVY BTUOSXVV,**************0210,CITIUS33,INVOICE 82089,mx
MSG00000445338,2026-07-07T07:40:34.140,pacs.008.001.08,SGD,MSG00000623937,2026-07-10T11:14:07,1,CLRG,REF00000109138,192f4433-e4e8-140f-b6fd-28949a11bd88,1526.62,SHAR,WKTCO RN,**************1130,OCBCSGSG,XBDEE YMAJAFRC,**************6093,CITIUS33,INVOICE 80842,mx
MSG00000106755,2026-07-11T00:50:27.009,pacs.008.001.08,SGD,MSG00000488120,2026-07-11T04:47:28,1,CLRG,REF00000660612,03321db8-7081-f62a-e260-94abbda3343b,880.28,SLEV,SYELU TC,**************1315,DBSSSGSG,GSVHB TCGMMYBL,**************7576,MAYBMYKL,INVOICE 06144,mx
MSG00000518332,2026-07-13T19:58:41.768,pacs.008.001.08,SGD,MSG00000162374,2026-07-13T07:55:22,1,CLRG,REF00000752895,eca0e352-db86-e204-b494-fe1ff257dc0c,2940.14,SHAR,YCCTO YT,**************1990,OCBCSGSG,UGQAN AGTSCHJX,**************9538,CITIUS33,INVOICE 54805,mx
MSG00000733374,2026-07-09T22:02:45.401,pacs.008.001.08,SGD,MSG00000537718,2026-07-02T12:10:26,1,CLRG,REF00000602106,71dc915a-318e-7b2c-ecda-23c86394d2f1,490.52,SHAR,RVLLM ON,**************7079,UOVBSGSG,ORKKV KDOUPDMF,**************9790,CITIUS33,INVOICE 71775,mx
MSG00000362063,2026-07-10T07:23:31.613,pacs.008.001.08,USD,MSG00000376271,2026-07-12T05:18:01,1,CLRG,REF00000322233,2e1b085d-2f81-1da5-d44d-efa68a3dd149,1902.9,SLEV,AABQK XE,**************4473,DBSSSGSG,SZMRB PLRVQQDF,**************3308,MAYBMYKL,INVOICE 47931,mx
MSG00000591426,2026-07-01T13:48:24.733,pacs.008.001.08,USD,MSG00000035652,2026-07-12T17:07:40,1,CLRG,REF00000393314,abdb9d69-8254-c4cb-b113-bd9ee18877f4,409.07,SLEV,BTCRP CR,**************3770,UOVBSGSG,QMJWG MGIHUMEL,**************8388,HSBCGB2L,INVOICE 36705,mx
MSG00000241964,2026-07-10T15:39:35.955,pacs.008.001.08,SGD,MSG00000572120,2026-07-05T17:31:25,1,CLRG,REF00000526135,7c88e462-6e3c-e809-9d5d-8150a795d431,718.54,SHAR,KQLNQ CY,**************2029,OCBCSGSG,KPBJZ MYPEDZWW,**************9917,CITIUS33,INVOICE 04576,mx
MSG00000467669,2026-07-13T11:11:00.385,pacs.008.001.08,EUR,MSG00000235690,2026-07-02T15:07:48,1,CLRG,REF00000166149,66618fdd-fd6d-0e7d-1711-c9c2a6d85613,86.27,SLEV,KFACB AT,**************7090,DBSSSGSG,ZHPKB PXPQZECZ,**************0532,MAYBMYKL,INVOICE 44068,mx
MSG00000582163,2026-07-02T19:19:13.631,pacs.008.001.08,MYR,MSG00000083199,2026-07-06T18:26:33,1,CLRG,REF00000247398,d2c4845e-320d-271a-ccc9-39b77ec7e59e,322.59,SHAR,JKRQL GI,**************3534,UOVBSGSG,IIAQP PKJNAGHR,**************2130,CITIUS33,INVOICE 36995,mx
MSG00000010974,2026-07-11T21:12:01.601,pacs.008.001.08,MYR,MSG00000624494,2026-07-04T21:38:23,1,CLRG,REF00000575670,cda48667-ff3d-3e13-0e06-c3b276bed8bc,987.72,SLEV,QWNZT FJ,**************3582,DBSSSGSG,WNITL VFSIGHQZ,**************9134,HSBCGB2L,INVOICE 94017,mx
MSG00000751236,2026-07-06T07:36:42.978,pacs.008.001.08,SGD,MSG00000014598,2026-07-03T17:20:06,1,CLRG,REF00000760129,0897cd6e-6d8c-c13d-ba54-90ad2e1c5e3a,2660.69,SLEV,SFRVC XQ,**************5547,DBSSSGSG,UMSIY YNICRIHD,**************6530,CITIUS33,INVOICE 02738,mx
MSG00000167328,2026-07-03T20:40:14.087,pacs.008.001.08,MYR,MSG00000787316,2026-07-10T05:50:12,1,CLRG,REF00000135522,41153000-9c16-b464-b616-9b1a2134a569,2012.35,SLEV,RVLLM ON,**************5651,OCBCSGSG,ZHPKB PXPQZECZ,**************9865,HSBCGB2L,INVOICE 59352,mx
MSG00000769362,2026-07-06T21:02:22.952,pacs.008.001.08,USD,MSG00000319158,2026-07-10T14:59:19,1,CLRG,REF00000319548,aa22fa64-4ef3-7e6c-1ebe-83153d8bed54,411.84,SLEV,YKPAQ XZ,**************9032,UOVBSGSG,CWKFA VVBUCYZE,**************0199,MAYBMYKL,INVOICE 61374,mx
MSG00000296912,2026-07-09T06:05:21.097,pacs.008.001.08,USD,MSG00000791869,2026-07-13T19:14:30,1,CLRG,REF00000284463,c48b5211-3183-b7d2-fca9-c88991ca50e7,310.71,SLEV,UORRB EA,**************1880,UOVBSGSG,XBBTQ EUPIEILG,**************9331,CITIUS33,INVOICE 40397,mx
MSG00000413458,2026-07-07T19:49:57.665,pacs.008.001.08,USD,MSG00000540324,2026-07-04T14:27:00,1,CLRG,REF00000336325,f6f80e8b-963b-e39b-bd98-346a4b134cde,1101.37,SLEV,MCCKJ XT,**************3712,DBSSSGSG,WXYNB VNYYIVVS,**************7733,CITIUS33,INVOICE 08367,mx
MSG00000565334,2026-07-12T20:55:13.086,pacs.008.001.08,USD,MSG00000003641,2026-07-08T04:14:52,1,CLRG,REF00000380516,735369d8-4387-ddb9-68e1-28bdd91e644b,453.63,SLEV,CLIXH BO,**************6827,OCBCSGSG,NXFNJ DXXFCOXF,**************7057,MAYBMYKL,INVOICE 05955,mx
MSG00000222774,2026-07-06T23:09:54.258,pacs.008.001.08,SGD,MSG00000179700,2026-07-12T23:25:52,1,CLRG,REF00000680091,b82d1923-44e8-f187-21d8-7f461fa9e2ab,1403.56,SLEV,QSTQC WC,**************7931,UOVBSGSG,EWPVM FBCSPFCR,**************4909,MAYBMYKL,INVOICE 55960,mx
MSG00000673847,2026-07-09T07:57:01.009,pacs.008.001.08,SGD,MSG00000750015,2026-07-13T21:52:57,1,CLRG,REF00000638994,8045d778-26da-89d3-1940-b3967adc6d3d,1990.67,SLEV,BUHED TX,**************5430,OCBCSGSG,KLUGG BZJJNJPZ,**************0358,HSBCGB2L,INVOICE 47879,mx
MSG00000279898,2026-07-14T06:31:19.450,pacs.008.001.08,SGD,MSG00000413216,2026-07-01T18:57:35,1,CLRG,REF00000402406,2721bf0f-44b5-eed9-a74b-8ed1226e54c3,497.1,SLEV,XSNQP YT,**************0673,DBSSSGSG,ZKIKV MVEUJWDY,**************6683,HSBCGB2L,INVOICE 94048,mx
MSG00000598269,2026-07-11T07:53:58.216,pacs.008.001.08,USD,MSG00000425580,2026-07-12T04:39:13,1,CLRG,REF00000589038,fa4c32b6-bbae-52bb-207a-c0f4e2cc10d0,564.52,SLEV,GSXDI TT,**************9125,DBSSSGSG,BGQOR TNWYFEDL,**************8223,HSBCGB2L,INVOICE 96860,mx
MSG00000174359,2026-07-08T05:53:09.266,pacs.008.001.08,EUR,MSG00000302243,2026-07-01T18:57:35,1,CLRG,REF00000369444,c5e46383-9c61-fe66-2033-6d72dd2c957d,3476.03,SHAR,XDNAD CF,**************5735,OCBCSGSG,CWKFA VVBUCYZE,**************5533,HSBCGB2L,INVOICE 16662,mx
MSG00000264321,2026-07-09T19:22:04.287,pacs.008.001.08,MYR,MSG00000526542,2026-07-06T22:13:32,1,CLRG,REF00000701407,ca696b2c-7551-161e-f048-9a6b83875b79,983.92,SHAR,OPGNF SG,**************4556,OCBCSGSG,AFGAA XOUMDDYY,**************7049,MAYBMYKL,INVOICE 49220,mx
MSG00000784073,2026-07-06T01:20:01.486,pacs.008.001.08,USD,MSG00000435430,2026-07-11T05:56:50,1,CLRG,REF00000340692,91e1bbfe-b366-b44e-a30e-ed1afc1b35f6,1162.71,SLEV,CVPRS XB,**************7075,UOVBSGSG,XLSLN FCUAGYGT,**************5431,MAYBMYKL,INVOICE 44804,mx
MSG00000614435,2026-07-10T04:46:08.948,pacs.008.001.08,SGD,MSG00000388703,2026-07-06T12:08:16,1,CLRG,REF00000181806,68a7d574-1e8c-5cc2-3302-8af33284d27c,7333.32,SLEV,JXXEA YP,**************7789,UOVBSGSG,OYKTU HVCAYVBW,**************3619,CITIUS33,INVOICE 05487,mx
MSG00000698258,2026-07-12T17:27:53.276,pacs.008.001.08,SGD,MSG00000401334,2026-07-02T05:34:28,1,CLRG,REF00000046509,00c824f3-9eef-4019-825d-5af27e1f77af,1394.42,SLEV,YDQDP MV,**************6297,DBSSSGSG,COHSB HUDIAGUT,**************7495,HSBCGB2L,INVOICE 95871,mx
MSG00000549275,2026-07-07T00:24:54.253,pacs.008.001.08,SGD,MSG00000337076,2026-07-14T08:53:49,1,CLRG,REF00000072336,78d131eb-acbd-49ef-164a-74bc49bc1133,838.2,SLEV,QLGUH RA,**************5257,UOVBSGSG,CEDZZ QCCROIOV,**************9811,MAYBMYKL,INVOICE 32158,mx
MSG00000574306,2026-07-14T19:58:53.965,pacs.008.001.08,USD,MSG00000463867,2026-07-01T02:30:03,1,CLRG,REF00000707788,1776a1ca-20f2-d61f-608d-38d548106637,210.88,SHAR,OPGNF SG,**************8255,OCBCSGSG,NWNTQ QGUSACFD,**************6988,CITIUS33,INVOICE 19332,mx
MSG00000434797,2026-07-03T09:29:27.675,pacs.008.001.08,SGD,MSG00000027119,2026-07-11T03:39:45,1,CLRG,REF00000716130,e7726990-0050-0869-1d9c-81b68e4c24b8,374.72,SLEV,LGIFM MX,**************8599,OCBCSGSG,EQQMO JMPSDUQX,**************7702,HSBCGB2L,INVOICE 38267,mx
MSG00000676995,2026-07-07T03:42:35.301,pacs.008.001.08,SGD,MSG00000408975,2026-07-14T11:11:19,1,CLRG,REF00000380456,321590ad-b25d-4270-4ac2-a544f8a77ca8,2104.29,SLEV,JMJUB KE,**************7817,UOVBSGSG,QORLM AONIZQIQ,**************8163,MAYBMYKL,INVOICE 58698,mx
MSG00000581110,2026-07-10T00:33:53.402,pacs.008.001.08,SGD,MSG00000751730,2026-07-02T22:33:36,1,CLRG,REF00000166219,11666eb7-2ddf-77af-75c3-bce04a7c2f2d,328.84,SLEV,LTMBG BQ,**************8633,UOVBSGSG,MKXOU HFYERNPE,**************8616,HSBCGB2L,INVOICE 81900,mx
MSG00000582252,2026-07-10T15:27:32.562,pacs.008.001.08,USD,MSG00000159323,2026-07-03T10:13:32,1,CLRG,REF00000038183,91dd1310-6431-9d81-c0be-4d64f8a3d472,894.75,SLEV,CLIXH BO,**************8550,UOVBSGSG,DKCWL PENDGYQE,**************2168,HSBCGB2L,INVOICE 25486,mx
MSG00000368738,2026-07-10T19:58:09.776,pacs.008.001.08,SGD,MSG00000074722,2026-07-12T14:57:52,1,CLRG,REF00000166908,e62d89bf-27b6-9461-a910-650882da6d3b,227.98,SLEV,QGEBS TJ,**************4545,UOVBSGSG,RALIX EZCLZYFF,**************9171,CITIUS33,INVOICE 28173,mx
MSG00000337728,2026-07-03T21:00:17.587,pacs.008.001.08,USD,MSG00000123151,2026-07-11T05:13:00,1,CLRG,REF00000654189,58853166-fe4a-3456-d2a8-ce05b21c1e39,1239.19,SHAR,RAYPN OO,**************6486,DBSSSGSG,XBDEE YMAJAFRC,**************6374,CITIUS33,INVOICE 04983,mx
MSG00000082376,2026-07-07T17:29:20.147,pacs.008.001.08,SGD,MSG00000004255,2026-07-03T11:10:17,1,CLRG,REF00000074830,b6f095e1-8266-a000-23e2-2d330cd16cc2,1562.71,SLEV,XSNQP YT,**************7803,UOVBSGSG,RCIIC OZZXHAKJ,**************8142,CITIUS33,INVOICE 47788,mx
MSG00000192592,2026-07-02T07:33:27.088,pacs.008.001.08,USD,MSG00000258843,2026-07-13T19:47:11,1,CLRG,REF00000405879,79e14e38-5c82-9324-a6fe-d7f34c5da1cb,2544.22,SHAR,AGTJI GC,**************6220,UOVBSGSG,EHPOC FYZPDNWC,**************3363,CITIUS33,INVOICE 74531,mx
MSG00000413857,2026-07-01T05:04:06.321,pacs.008.001.08,SGD,MSG00000724972,2026-07-03T18:31:28,1,CLRG,REF00000308683,8fb62cda-8662-0434-de49-c0a8004049a9,2146.76,SLEV,QLGUH RA,**************1989,OCBCSGSG,BUDOD MTKSKKYR,**************4820,CITIUS33,INVOICE 60844,mx
MSG00000161832,2026-07-08T08:55:26.505,pacs.008.001.08,SGD,MSG00000568208,2026-07-12T23:25:52,1,CLRG,REF00000227053,27794ef4-5a4a-0366-55f2-64780a449d6f,733.92,SHAR,MARYP FU,**************7787,DBSSSGSG,KPBJZ MYPEDZWW,**************2393,CITIUS33,INVOICE 63550,mx
MSG00000430078,2026-07-14T15:46:49.865,pacs.008.001.08,SGD,MSG00000599114,2026-07-04T10:42:51,1,CLRG,REF00000032635,65977bd4-969a-0158-99d7-eb45e23814d2,822.36,SLEV,TEWHV NB,**************5036,UOVBSGSG,ACHMZ LGMAXGRH,**************2273,MAYBMYKL,INVOICE 60915,mx
MSG00000268821,2026-07-05T19:00:34.268,pacs.008.001.08,MYR,MSG00000174988,2026-07-02T09:11:53,1,CLRG,REF00000284863,74bf1a58-b659-64c6-5413-2e9e653a386b,3369.97,SLEV,YURHC LC,**************2911,UOVBSGSG,DZOJU XKQAKSCF,**************5361,MAYBMYKL,INVOICE 19630,mx
MSG00000342033,2026-07-05T02:22:51.118,pacs.008.001.08,SGD,MSG00000677417,2026-07-10T11:14:07,1,CLRG,REF00000528247,aaa73a7a-1820-56af-1c7e-a118edb6def0,1671.65,SLEV,NLYAW YO,**************1638,UOVBSGSG,COHSB HUDIAGUT,**************0083,HSBCGB2L,INVOICE 79153,mx
MSG00000636510,2026-07-08T00:49:45.028,pacs.008.001.08,SGD,MSG00000016056,2026-07-04T19:44:14,1,CLRG,REF00000003808,b00fff36-326e-fc97-f5be-716d8f43162c,516.16,SLEV,TXMUK TQ,**************9892,OCBCSGSG,JIWPS HLQCUZAV,**************6726,CITIUS33,INVOICE 36704,mx
MSG00000507427,2026-07-04T10:03:28.717,pacs.008.001.08,USD,MSG00000559852,2026-07-14T18:26:25,1,CLRG,REF00000757154,5420ee91-fd86-2b87-7e94-c2a0b1a60b09,8986.69,SHAR,TEWHV NB,**************2723,OCBCSGSG,ATLMT ZFFKECQU,**************3585,HSBCGB2L,INVOICE 77268,mx
